shift_id,start1,end1,start2,end2,shift_time,shift_minute,shift_type,shift_type_id,t_0000,t_0030,t_0100,t_0130,t_0200,t_0230,t_0300,t_0330,t_0400,t_0430,t_0500,t_0530,t_0600,t_0630,t_0700,t_0730,t_0800,t_0830,t_0900,t_0930,t_1000,t_1030,t_1100,t_1130,t_1200,t_1230,t_1300,t_1330,t_1400,t_1430,t_1500,t_1530,t_1600,t_1630,t_1700,t_1730,t_1800,t_1830,t_1900,t_1930,t_2000,t_2030,t_2100,t_2130,t_2200,t_2230,t_2300,t_2330
65,13:00,17:00,18:30,22:30,13:00-17:00 18:30-22:30,480,午班,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,
66,13:00,17:00,18:30,23:00,13:00-17:00 18:30-23:00,510,午班,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,,
67,13:00,17:00,19:00,23:00,13:00-17:00 19:00-23:00,480,午班,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,
68,13:00,17:30,18:30,22:00,13:00-17:30 18:30-22:00,480,午班,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,,
69,13:00,17:30,18:30,22:30,13:00-17:30 18:30-22:30,510,午班,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,
70,13:00,17:30,18:30,23:00,13:00-17:30 18:30-23:00,540,午班,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,
71,13:00,17:30,19:00,22:30,13:00-17:30 19:00-22:30,480,午班,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,,,
72,13:00,17:30,19:00,23:00,13:00-17:30 19:00-23:00,510,午班,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,
73,13:00,17:30,19:30,23:00,13:00-17:30 19:30-23:00,480,午班,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,,
74,13:30,16:30,17:30,22:30,13:30-16:30 17:30-22:30,480,午班,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,,
75,11:30,16:30,17:30,20:30,11:30-16:30 17:30-20:30,480,中班,4,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,,,,,,
76,11:30,16:30,18:00,21:00,11:30-16:30 18:00-21:00,480,中班,4,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,,,,
77,11:30,15:30,17:00,21:00,11:30-15:30 17:00-21:00,480,中班,4,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,,,,
78,11:30,16:00,17:00,20:30,11:30-16:00 17:00-20:30,480,中班,4,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,,,,,
79,11:30,16:00,17:30,21:00,11:30-16:00 17:30-21:00,480,中班,4,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,,,,,,
80,12:00,16:00,17:00,21:00,12:00-16:00 17:00-21:00,480,中班,4,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,
